Product Name,Price,No of Reviews per Product
"Fire-Boltt Phoenix Ultra Luxury Stainless Steel, Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Multicolor)","1,399","52,655"
"Fire-Boltt Ninja Call Pro Max Smart Watch 2.01 inch Display, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Blue)","1,099","48,888"
"Fire-Boltt Rise Smart Watch, 1.85"" HD Display, Metal Body with Bluetooth Calling, Rotating Crown, AI Voice Assistant, 120 Sports Modes, Neon UI, SpO2 & Heart Rate Monitoring (Black)","1,099",454
G-Shock GM-2110D-7ADR Analog-Digital Silver Dial Men (G1612),"19,795",3442
"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Active Black)","1,299","22,301"
Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,275,"2,462"
Premium Watch for Men with Black Colored Chain Watch for Men Stainless Steel and Scratch Resistance,949,492
Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,"3,230","1,779"
Analog Business Casual Stainless Steel Decorative Subdials Watch for Men,851,790
"Fire-Boltt Asphalt Newly Launched Racing Edition Smart Watch 1.91” Full Touch Screen, Bluetooth Calling, Health Suite, 123 Sports Modes, 400 mAh Battery (Orange)","1,812","1,384"
G-Shock GST-B400BB-1ADR Black Analog-Digital Dial Black Resin Strap Men's Watch Tough Solar Bluetooth G1417,"29,695",4
Men Black Round Dial Analog Watch - TWEG25000,"6,996",122
